symbol,averagedailyprice,totalvolume,dailyreturn,volatilityindex,movingavg5day,movingavg10day,maxdate
AAPL,228.40380000000002,4829452633,0.0013340748094631948,0.012563440337411119,249.73200000000003,247.555,2024-12-18
AMZN,191.5825,3949664802,0.00215071329789416,0.02064944830361387,228.206,227.0,2024-12-18
GOOG,169.1441,1853029936,0.0011646910496859886,0.017572667550325227,194.088,188.158,2024-12-18
MSFT,421.99080000000004,2060946417,0.00042022485264508916,0.012925415958481012,448.054,446.48,2024-12-18
NFLX,750.691,312104688,0.003737367996719666,0.018321303479182153,914.836,919.0390000000001,2024-12-18
