symbol,averagedailyprice,totalvolume,dailyreturn,volatilityindex,movingavg5day,movingavg10day,maxdate
AAPL,228.40380000000002,4829452633,0.001334074809463186,0.012563440337411084,249.73200000000003,247.555,2024-12-18
AMZN,191.5825,3949664802,0.002150713297894152,0.020649448303613833,228.206,227.0,2024-12-18
GOOG,169.1441,1853029936,0.00116469104968598,0.017572667550325195,194.088,188.158,2024-12-18
MSFT,421.99080000000004,2060946417,0.0004202248526450801,0.012925415958480973,448.054,446.48,2024-12-18
NFLX,750.691,312104688,0.003737367996719657,0.018321303479182125,914.836,919.0390000000001,2024-12-18
